tahun,bulan,benua,region,nama_negara,nilai_ekspor
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Filipina",112844
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Kamboja",5027
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Laos",39
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Malaysia",304266
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Myanmar",5293
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Singapura",736252
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Thailand",128368
2005,"Agustus","Asia dan Timur Tengah","ASEAN","Vietnam",40670
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",105842
2005,"Agustus","Asia dan Timur Tengah","Asia Selatan","India",345310
2005,"Agustus","Asia dan Timur Tengah","Timur Tengah","Irak",6504
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Jepang",1627770
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Korea Selatan",582667
2005,"Agustus","Asia dan Timur Tengah","Asia Selatan","Pakistan",72979
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",654408
2005,"Agustus","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",38632
2005,"Agustus","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",184119
2005,"Agustus","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",198841
2005,"Agustus","Australia dan Oceania","Australia","Australia",195507
2005,"Agustus","Australia dan Oceania","New Zealand","New Zealand",11960
2005,"Agustus","Afrika","Afrika Selatan","Afrika Selatan",27599
2005,"Agustus","Afrika","Afrika Lainnya","Afrika lainnya",54519
2005,"Agustus","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",146937
2005,"September","Amerika","Amerika Utara","Amerika Serikat",901198
2005,"September","Amerika","Amerika Utara","Kanada",45079
2005,"September","Amerika","Amerika Tengah dan Selatan","Argentina",10298
2005,"September","Amerika","Amerika Tengah dan Selatan","Brasil",43562
2005,"September","Amerika","Amerika Tengah dan Selatan","Meksiko",26470
2005,"September","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",42013
2005,"September","Eropa","Uni Eropa","Belanda",181429
2005,"September","Eropa","Uni Eropa","Belgia",81610
2005,"September","Eropa","Uni Eropa","Inggris",114556
2005,"September","Eropa","Uni Eropa","Italia",78924
2005,"September","Eropa","Uni Eropa","Jerman",143359
2005,"September","Eropa","Uni Eropa","Perancis",42795
2005,"September","Eropa","Uni Eropa","Spanyol",95925
2005,"September","Eropa","Uni Eropa","Uni Eropa lainnya ",86011
2005,"September","Eropa","Rusia","Rusia",12546
2005,"September","Eropa","Turki","Turki",51710
2005,"September","Eropa","Eropa Lainnya","Eropa lainnya",20572
2005,"September","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",3396
2005,"September","Asia dan Timur Tengah","ASEAN","Filipina",120484
2005,"September","Asia dan Timur Tengah","ASEAN","Kamboja",9584
2005,"September","Asia dan Timur Tengah","ASEAN","Laos",525
2005,"September","Asia dan Timur Tengah","ASEAN","Malaysia",306210
2005,"September","Asia dan Timur Tengah","ASEAN","Myanmar",4697
2005,"September","Asia dan Timur Tengah","ASEAN","Singapura",650752
2005,"September","Asia dan Timur Tengah","ASEAN","Thailand",160890
2005,"September","Asia dan Timur Tengah","ASEAN","Vietnam",63668
2005,"September","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",121381
2005,"September","Asia dan Timur Tengah","Asia Selatan","India",195298
2005,"September","Asia dan Timur Tengah","Timur Tengah","Irak",0
2005,"September","Asia dan Timur Tengah","Asia Timur","Jepang",1627710
2005,"September","Asia dan Timur Tengah","Asia Timur","Korea Selatan",593809
2005,"September","Asia dan Timur Tengah","Asia Selatan","Pakistan",45412
2005,"September","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",717901
2005,"September","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",51118
2005,"September","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",141766
2005,"September","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",243059
2005,"September","Australia dan Oceania","Australia","Australia",222828
2005,"September","Australia dan Oceania","New Zealand","New Zealand",17219
2005,"September","Afrika","Afrika Selatan","Afrika Selatan",33004
2005,"September","Afrika","Afrika Lainnya","Afrika lainnya",86989
2005,"September","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan","Ekspor yang tidak dapat diklasifikasikan",86082
2005,"Oktober","Amerika","Amerika Utara","Amerika Serikat",951692
2005,"Oktober","Amerika","Amerika Utara","Kanada",47198
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Argentina",14274
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Brasil",32238
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Meksiko",26781
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",49923
2005,"Oktober","Eropa","Uni Eropa","Belanda",230979
2005,"Oktober","Eropa","Uni Eropa","Belgia",84297
2005,"Oktober","Eropa","Uni Eropa","Inggris",122074
2005,"Oktober","Eropa","Uni Eropa","Italia",79801
2005,"Oktober","Eropa","Uni Eropa","Jerman",172353
2005,"Oktober","Eropa","Uni Eropa","Perancis",50890
2005,"Oktober","Eropa","Uni Eropa","Spanyol",115145
2005,"Oktober","Eropa","Uni Eropa","Uni Eropa lainnya ",104604
2005,"Oktober","Eropa","Rusia","Rusia",23615
2005,"Oktober","Eropa","Turki","Turki",55444
2005,"Oktober","Eropa","Eropa Lainnya","Eropa lainnya",30473
